CMDLINE /home/sam/anaconda3/envs/torchgeometric/bin/python3.10 main.py --cuda_num=0 --dropout=0.8 --dim_hidden=14 --num_layers=2 --batch_size=128 --use_batch_norm=True --SLE_threshold=0.9 --N_exp=1 --dataset=HeterophilousGraphDataset --epochs=30 --homophily=0.9 --multi_label=True --type_model=GCN --eval_steps=50 --lr=1e-1 --weight_decay=1e-5
MEM 0.007812 1715108078.6443
MEM 28.050781 1715108078.7446
MEM 166.835938 1715108078.8450
MEM 205.855469 1715108078.9453
MEM 225.804688 1715108079.0456
MEM 275.101562 1715108079.1459
MEM 316.734375 1715108079.2463
MEM 323.953125 1715108079.3466
MEM 333.937500 1715108079.4469
MEM 348.265625 1715108079.5472
MEM 360.109375 1715108079.6475
MEM 369.648438 1715108079.7478
MEM 376.554688 1715108079.8481
MEM 384.332031 1715108079.9484
MEM 396.875000 1715108080.0487
MEM 413.722656 1715108080.1490
MEM 423.203125 1715108080.2493
MEM 433.917969 1715108080.3496
MEM 444.375000 1715108080.4499
MEM 458.210938 1715108080.5502
MEM 460.273438 1715108080.6505
MEM 465.531250 1715108080.7509
MEM 470.531250 1715108080.8513
MEM 483.421875 1715108080.9515
MEM 488.886719 1715108081.0519
MEM 504.765625 1715108081.1522
MEM 586.937500 1715108081.2526
MEM 678.859375 1715108081.3530
MEM 748.753906 1715108081.4534
MEM 848.679688 1715108081.5537
MEM 942.574219 1715108081.6540
MEM 1041.355469 1715108081.7544
MEM 1141.066406 1715108081.8547
MEM 1240.058594 1715108081.9551
MEM 1344.648438 1715108082.0555
MEM 1414.230469 1715108082.1559
MEM 1552.281250 1715108082.2563
MEM 1591.542969 1715108082.3566
MEM 1673.832031 1715108082.4570
MEM 1786.847656 1715108082.5573
MEM 1910.753906 1715108082.6577
MEM 1956.265625 1715108082.7582
MEM 1956.265625 1715108082.8586
MEM 1956.265625 1715108082.9589
MEM 1969.531250 1715108083.0592
MEM 1969.531250 1715108083.1595
MEM 1969.531250 1715108083.2598
MEM 1972.027344 1715108083.3601
